#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0044391	ribosomal subunit	19	2.3e-11	AT1G14320.1,AT1G23290.1,AT1G72370.1,AT2G18020.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G55280.1,AT5G02870.1,AT5G15200.1,AT5G35530.1,AT5G52650.1	AT2G36160,AT2G37190,AT2G41840,AT3G07110,AT3G11510,AT3G24830,AT5G02870,AT5G15200,AT5G35530,AT5G52650,EMB2296,P40,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS5B,SAC52
GO.0005840	ribosome	21	7.01e-10	AT1G14320.1,AT1G23290.1,AT1G72370.1,AT2G18020.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G52580.1,AT3G55280.1,AT5G02870.1,AT5G15200.1,AT5G23740.1,AT5G35530.1,AT5G52650.1	AT2G36160,AT2G37190,AT2G41840,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT5G02870,AT5G15200,AT5G35530,AT5G52650,EMB2296,P40,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52
GO.0022626	cytosolic ribosome	18	1.32e-09	AT1G14320.1,AT1G23290.1,AT1G72370.1,AT2G18020.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G55280.1,AT5G02870.1,AT5G15200.1,AT5G35530.1,AT5G52650.1	AT2G36160,AT2G37190,AT2G41840,AT3G11510,AT3G24830,AT5G02870,AT5G15200,AT5G35530,AT5G52650,EMB2296,P40,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS5B,SAC52
GO.0030529	ribonucleoprotein complex	24	1.99e-09	AT1G14320.1,AT1G23290.1,AT1G65660.1,AT1G72370.1,AT2G18020.1,AT2G27880.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41840.1,AT3G07110.2,AT3G11510.1,AT3G24830.1,AT3G25520.1,AT3G52580.1,AT3G55280.1,AT5G02870.1,AT5G15200.1,AT5G16850.1,AT5G23740.1,AT5G35530.1,AT5G52650.1	AGO5,AT2G36160,AT2G37190,AT2G41840,AT3G07110,AT3G11510,AT3G24830,AT3G52580,AT5G02870,AT5G15200,AT5G35530,AT5G52650,EMB2296,F5I14.19,P40,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,TERT
GO.0043232	intracellular non-membrane-bounded organelle	30	1.17e-07	AT1G14320.1,AT1G23290.1,AT1G72370.1,AT2G18020.1,AT2G29550.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT3G07110.2,AT3G11510.1,AT3G15010.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G52580.1,AT3G55280.1,AT3G59550.1,AT5G02870.1,AT5G11710.1,AT5G15200.1,AT5G16850.1,AT5G22010.1,AT5G23740.1,AT5G35530.1,AT5G49830.2,AT5G52650.1	AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT3G07110,AT3G11510,AT3G15010,AT3G24830,AT3G52580,AT5G02870,AT5G11710,AT5G15200,AT5G35530,AT5G52650,EMB2296,EXO84B,MSH7,P40,RFC1,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS11-BETA,RPS5B,SAC52,SYN3,TERT,TUB7
GO.0015934	large ribosomal subunit	11	3.71e-07	AT1G14320.1,AT1G23290.1,AT2G18020.1,AT2G36620.1,AT2G37190.1,AT2G39460.1,AT3G07110.2,AT3G24830.1,AT3G25520.1,AT3G55280.1,AT5G02870.1	AT2G37190,AT3G07110,AT3G24830,AT5G02870,EMB2296,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,SAC52
GO.0044424	intracellular part	108	4.15e-07	AT1G01050.1,AT1G03430.1,AT1G03445.1,AT1G05260.1,AT1G07740.1,AT1G08470.1,AT1G09575.1,AT1G12770.1,AT1G14320.1,AT1G17140.1,AT1G19350.3,AT1G23140.1,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G44110.1,AT1G48635.2,AT1G49880.1,AT1G55370.2,AT1G55510.1,AT1G60740.1,AT1G61950.1,AT1G65660.1,AT1G70980.1,AT1G71260.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G16370.1,AT2G18020.1,AT2G18120.1,AT2G21490.1,AT2G22250.2,AT2G26150.1,AT2G27880.1,AT2G29550.1,AT2G29980.1,AT2G35720.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT2G42220.1,AT2G43120.1,AT2G43240.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12800.1,AT3G12990.1,AT3G15010.1,AT3G16170.1,AT3G20660.1,AT3G21360.1,AT3G21880.1,AT3G22845.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G51830.1,AT3G52580.1,AT3G52720.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G59550.1,AT3G61520.1,AT3G63400.1,AT4G08170.2,AT4G10180.1,AT4G24830.1,AT4G33530.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G10560.1,AT5G11710.1,AT5G13710.1,AT5G15200.1,AT5G16850.1,AT5G17290.1,AT5G20990.1,AT5G22010.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G49830.2,AT5G49940.1,AT5G51660.1,AT5G52640.1,AT5G52650.1,AT5G53280.1,AT5G57030.1,AT5G57800.1	AAE13,AAT,AGO5,AHP5,AP2,APG5,AT1G07740,AT1G09575,AT1G23140,AT1G28310,AT1G60740,AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT2G42220,AT2G43120,AT2G43240,AT2G45030,AT3G07110,AT3G11510,AT3G15010,AT3G21360,AT3G22845,AT3G24830,AT3G52580,AT3G61520,AT3G63400,AT4G08170,AT4G24830,AT5G02870,AT5G08430,AT5G10560,AT5G11710,AT5G15200,AT5G35530,AT5G52650,ATHB-7,ATWHY2,At1g55510,At3g09820,B73,BBX10,BES1,BSU1,CAH1,CER3,CPK19,CPSF100,CPSF160,CPSF30,CUC3,CYCA1;1,DET1,EMB1586,EMB2296,EPC1,EXO84B,Erv1,F5I14.19,FAD3,GATA1,HAG1,HAM4,HCF152,HSFA2,HSP90.1,ICR1,IMS1,KUP5,LEA,LUT2,MPK3,MSH7,NAC015,NAC061,NDF5,NFU2,OCT4,OWL1,P40,PDV1,PEX3,PPa1,RCI3,RCK,RFC1,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS11-BETA,RPS5B,RRP45a,SAC52,SAC8,SDRB,SMT1,SRS4,SSL3,SYN3,SYNC3,TCP20,TERT,THY-1,TSC10A,TUB7
GO.0005622	intracellular	108	6.83e-07	AT1G01050.1,AT1G03430.1,AT1G03445.1,AT1G05260.1,AT1G07740.1,AT1G08470.1,AT1G09575.1,AT1G12770.1,AT1G14320.1,AT1G17140.1,AT1G19350.3,AT1G23140.1,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G44110.1,AT1G48635.2,AT1G49880.1,AT1G55370.2,AT1G55510.1,AT1G60740.1,AT1G61950.1,AT1G65660.1,AT1G70980.1,AT1G71260.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G16370.1,AT2G18020.1,AT2G18120.1,AT2G21490.1,AT2G22250.2,AT2G26150.1,AT2G27880.1,AT2G29550.1,AT2G29980.1,AT2G35720.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT2G42220.1,AT2G43120.1,AT2G43240.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12800.1,AT3G12990.1,AT3G15010.1,AT3G16170.1,AT3G20660.1,AT3G21360.1,AT3G21630.1,AT3G21880.1,AT3G22845.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G51830.1,AT3G52580.1,AT3G52720.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G59550.1,AT3G61520.1,AT3G63400.1,AT4G10180.1,AT4G24830.1,AT4G33530.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G10560.1,AT5G11710.1,AT5G13710.1,AT5G15200.1,AT5G16850.1,AT5G17290.1,AT5G20990.1,AT5G22010.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G49830.2,AT5G49940.1,AT5G51660.1,AT5G52640.1,AT5G52650.1,AT5G53280.1,AT5G57030.1,AT5G57800.1	AAE13,AAT,AGO5,AHP5,AP2,APG5,AT1G07740,AT1G09575,AT1G23140,AT1G28310,AT1G60740,AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT2G42220,AT2G43120,AT2G43240,AT2G45030,AT3G07110,AT3G11510,AT3G15010,AT3G21360,AT3G22845,AT3G24830,AT3G52580,AT3G61520,AT3G63400,AT4G24830,AT5G02870,AT5G08430,AT5G10560,AT5G11710,AT5G15200,AT5G35530,AT5G52650,ATHB-7,ATWHY2,At1g55510,At3g09820,B73,BBX10,BES1,BSU1,CAH1,CER3,CERK1,CPK19,CPSF100,CPSF160,CPSF30,CUC3,CYCA1;1,DET1,EMB1586,EMB2296,EPC1,EXO84B,Erv1,F5I14.19,FAD3,GATA1,HAG1,HAM4,HCF152,HSFA2,HSP90.1,ICR1,IMS1,KUP5,LEA,LUT2,MPK3,MSH7,NAC015,NAC061,NDF5,NFU2,OCT4,OWL1,P40,PDV1,PEX3,PPa1,RCI3,RCK,RFC1,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS11-BETA,RPS5B,RRP45a,SAC52,SAC8,SDRB,SMT1,SRS4,SSL3,SYN3,SYNC3,TCP20,TERT,THY-1,TSC10A,TUB7
GO.0031981	nuclear lumen	20	6.83e-07	AT1G14320.1,AT1G23290.1,AT1G30460.1,AT2G18020.1,AT2G37190.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT3G11510.1,AT3G15010.1,AT3G24495.1,AT3G25520.1,AT3G54610.1,AT3G59550.1,AT3G63400.1,AT5G02870.1,AT5G15200.1,AT5G16690.1,AT5G23880.1,AT5G35530.1	AT2G37190,AT2G41620,AT2G41840,AT3G11510,AT3G15010,AT3G63400,AT5G02870,AT5G15200,AT5G35530,CPSF100,CPSF30,EMB2296,HAG1,MSH7,ORC3,RPL23AA,RPL27AB,RPL5A,SAC52,SYN3
GO.0043226	organelle	100	6.83e-07	AT1G01050.1,AT1G03430.1,AT1G03445.1,AT1G05260.1,AT1G07740.1,AT1G08470.1,AT1G09575.1,AT1G12770.1,AT1G14320.1,AT1G17140.1,AT1G19350.3,AT1G23140.1,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G44110.1,AT1G48635.2,AT1G49880.1,AT1G55370.2,AT1G55510.1,AT1G65660.1,AT1G71260.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G22250.2,AT2G26150.1,AT2G29550.1,AT2G29980.1,AT2G35720.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT2G42220.1,AT2G43120.1,AT2G43240.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12800.1,AT3G12990.1,AT3G15010.1,AT3G16170.1,AT3G20660.1,AT3G21360.1,AT3G21880.1,AT3G22845.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G51830.1,AT3G52580.1,AT3G52720.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G59550.1,AT3G61520.1,AT3G63400.1,AT4G08170.2,AT4G10180.1,AT4G24830.1,AT4G33530.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G10560.1,AT5G11710.1,AT5G13710.1,AT5G15200.1,AT5G16850.1,AT5G17290.1,AT5G22010.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G49830.2,AT5G49940.1,AT5G51660.1,AT5G52650.1,AT5G53280.1,AT5G57030.1,AT5G57800.1	AAE13,AAT,AHP5,AP2,APG5,AT1G07740,AT1G09575,AT1G23140,AT1G28310,AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT2G42220,AT2G43120,AT2G43240,AT2G45030,AT3G07110,AT3G11510,AT3G15010,AT3G21360,AT3G22845,AT3G24830,AT3G52580,AT3G61520,AT3G63400,AT4G08170,AT4G24830,AT5G02870,AT5G08430,AT5G10560,AT5G11710,AT5G15200,AT5G35530,AT5G52650,ATHB-7,ATWHY2,At1g55510,At3g09820,BBX10,BES1,BSU1,CAH1,CER3,CPSF100,CPSF160,CPSF30,CUC3,CYCA1;1,DET1,EMB1586,EMB2296,EPC1,EXO84B,Erv1,F5I14.19,FAD3,GATA1,HAG1,HAM4,HCF152,HSFA2,ICR1,IMS1,KUP5,LUT2,MPK3,MSH7,NAC015,NAC061,NDF5,NFU2,OCT4,OWL1,P40,PDV1,PEX3,PPa1,RCI3,RCK,RFC1,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS11-BETA,RPS5B,RRP45a,SAC52,SAC8,SDRB,SMT1,SRS4,SSL3,SYN3,TCP20,TERT,TSC10A,TUB7
GO.0022625	cytosolic large ribosomal subunit	10	9.05e-07	AT1G14320.1,AT1G23290.1,AT2G18020.1,AT2G36620.1,AT2G37190.1,AT2G39460.1,AT3G24830.1,AT3G25520.1,AT3G55280.1,AT5G02870.1	AT2G37190,AT3G24830,AT5G02870,EMB2296,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,SAC52
GO.0043229	intracellular organelle	99	1.17e-06	AT1G01050.1,AT1G03430.1,AT1G03445.1,AT1G05260.1,AT1G07740.1,AT1G08470.1,AT1G09575.1,AT1G12770.1,AT1G14320.1,AT1G17140.1,AT1G19350.3,AT1G23140.1,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G44110.1,AT1G48635.2,AT1G49880.1,AT1G55370.2,AT1G55510.1,AT1G65660.1,AT1G71260.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G22250.2,AT2G26150.1,AT2G29550.1,AT2G29980.1,AT2G35720.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT2G42220.1,AT2G43120.1,AT2G43240.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G07110.2,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12800.1,AT3G12990.1,AT3G15010.1,AT3G16170.1,AT3G20660.1,AT3G21360.1,AT3G21880.1,AT3G22845.1,AT3G24050.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G51830.1,AT3G52580.1,AT3G52720.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G59550.1,AT3G61520.1,AT3G63400.1,AT4G08170.2,AT4G10180.1,AT4G24830.1,AT4G33530.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G10560.1,AT5G11710.1,AT5G13710.1,AT5G15200.1,AT5G16850.1,AT5G22010.1,AT5G23740.1,AT5G23880.1,AT5G35530.1,AT5G49830.2,AT5G49940.1,AT5G51660.1,AT5G52650.1,AT5G53280.1,AT5G57030.1,AT5G57800.1	AAE13,AAT,AHP5,AP2,AT1G07740,AT1G09575,AT1G23140,AT1G28310,AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT2G42220,AT2G43120,AT2G43240,AT2G45030,AT3G07110,AT3G11510,AT3G15010,AT3G21360,AT3G22845,AT3G24830,AT3G52580,AT3G61520,AT3G63400,AT4G08170,AT4G24830,AT5G02870,AT5G08430,AT5G10560,AT5G11710,AT5G15200,AT5G35530,AT5G52650,ATHB-7,ATWHY2,At1g55510,At3g09820,BBX10,BES1,BSU1,CAH1,CER3,CPSF100,CPSF160,CPSF30,CUC3,CYCA1;1,DET1,EMB1586,EMB2296,EPC1,EXO84B,Erv1,F5I14.19,FAD3,GATA1,HAG1,HAM4,HCF152,HSFA2,ICR1,IMS1,KUP5,LUT2,MPK3,MSH7,NAC015,NAC061,NDF5,NFU2,OCT4,OWL1,P40,PDV1,PEX3,PPa1,RCI3,RCK,RFC1,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS11-BETA,RPS5B,RRP45a,SAC52,SAC8,SDRB,SMT1,SRS4,SSL3,SYN3,TCP20,TERT,TSC10A,TUB7
GO.0044422	organelle part	59	1.17e-06	AT1G06760.1,AT1G08470.1,AT1G09575.1,AT1G14320.1,AT1G23290.1,AT1G30460.1,AT1G48635.2,AT1G55370.2,AT1G55510.1,AT1G65660.1,AT1G72370.1,AT1G74040.1,AT2G18020.1,AT2G22250.2,AT2G29550.1,AT2G29980.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT2G42220.1,AT2G43240.1,AT3G06060.1,AT3G07110.2,AT3G09650.1,AT3G11510.1,AT3G12800.1,AT3G15010.1,AT3G20660.1,AT3G22845.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G51830.1,AT3G52720.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G59550.1,AT3G63400.1,AT4G24830.1,AT4G33530.1,AT5G02870.1,AT5G10560.1,AT5G11710.1,AT5G15200.1,AT5G16850.1,AT5G17290.1,AT5G22010.1,AT5G23880.1,AT5G35530.1,AT5G49940.1,AT5G52650.1,AT5G53280.1,AT5G57030.1,AT5G57800.1	AAT,APG5,AT1G06760,AT1G09575,AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT2G42220,AT2G43240,AT3G07110,AT3G11510,AT3G15010,AT3G22845,AT3G24830,AT3G63400,AT4G24830,AT5G02870,AT5G10560,AT5G11710,AT5G15200,AT5G35530,AT5G52650,At1g55510,CAH1,CER3,CPSF100,CPSF30,EMB2296,EPC1,F5I14.19,FAD3,HAG1,HCF152,IMS1,KUP5,LUT2,MSH7,NDF5,NFU2,OCT4,P40,PDV1,PEX3,RFC1,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS5B,SAC52,SAC8,SDRB,SSL3,SYN3,TERT,TSC10A,TUB7
GO.0043227	membrane-bounded organelle	96	2.01e-06	AT1G01050.1,AT1G03430.1,AT1G03445.1,AT1G05260.1,AT1G06760.1,AT1G07740.1,AT1G08470.1,AT1G09575.1,AT1G12770.1,AT1G14320.1,AT1G17140.1,AT1G19350.3,AT1G23140.1,AT1G23290.1,AT1G28310.2,AT1G30460.1,AT1G33280.1,AT1G44110.1,AT1G48635.2,AT1G49880.1,AT1G55370.2,AT1G55510.1,AT1G65660.1,AT1G71260.1,AT1G72370.1,AT1G74040.1,AT1G76420.1,AT2G18020.1,AT2G18120.1,AT2G22250.2,AT2G26150.1,AT2G29550.1,AT2G29980.1,AT2G35720.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT2G42220.1,AT2G43120.1,AT2G43240.1,AT2G45030.1,AT2G46680.1,AT3G06060.1,AT3G09650.1,AT3G09820.1,AT3G11510.1,AT3G12800.1,AT3G12990.1,AT3G15010.1,AT3G16170.1,AT3G20660.1,AT3G21360.1,AT3G21880.1,AT3G22845.1,AT3G24050.1,AT3G24495.1,AT3G25520.1,AT3G27010.1,AT3G27730.1,AT3G44350.2,AT3G45640.1,AT3G51830.1,AT3G52720.1,AT3G54610.1,AT3G55830.1,AT3G59550.1,AT3G61520.1,AT3G61650.1,AT3G63400.1,AT4G08170.2,AT4G10180.1,AT4G24830.1,AT4G33530.1,AT4G36710.1,AT4G36920.1,AT5G02870.1,AT5G08430.1,AT5G10560.1,AT5G11710.1,AT5G13710.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G17290.1,AT5G22010.1,AT5G23880.1,AT5G35530.1,AT5G49940.1,AT5G51660.1,AT5G53280.1,AT5G57030.1,AT5G57800.1	AAE13,AAT,AHP5,AP2,APG5,AT1G06760,AT1G07740,AT1G09575,AT1G23140,AT1G28310,AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT2G42220,AT2G43120,AT2G43240,AT2G45030,AT3G11510,AT3G15010,AT3G21360,AT3G22845,AT3G61520,AT3G63400,AT4G08170,AT4G24830,AT5G02870,AT5G08430,AT5G10560,AT5G11710,AT5G15200,AT5G35530,ATHB-7,ATWHY2,At1g55510,At3g09820,BBX10,BES1,BSU1,CAH1,CER3,CPSF100,CPSF160,CPSF30,CUC3,CYCA1;1,DET1,EMB1586,EMB2296,EPC1,Erv1,F5I14.19,FAD3,GATA1,HAG1,HAM4,HCF152,HSFA2,ICR1,IMS1,KUP5,LUT2,MPK3,MSH7,NAC015,NAC061,NDF5,NFU2,OCT4,ORC3,OWL1,P40,PDV1,PEX3,PPa1,RCI3,RCK,RFC1,RPL23AA,RPL24A,RPL27AB,RPL5A,RPS5B,RRP45a,SAC52,SAC8,SDRB,SMT1,SRS4,SSL3,SYN3,TCP20,TERT,TSC10A,TUB7,TUBG1
GO.0044428	nuclear part	22	2.14e-06	AT1G14320.1,AT1G23290.1,AT1G30460.1,AT1G65660.1,AT2G18020.1,AT2G37190.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT3G11510.1,AT3G15010.1,AT3G24495.1,AT3G25520.1,AT3G54610.1,AT3G59550.1,AT3G63400.1,AT5G02870.1,AT5G15200.1,AT5G16690.1,AT5G16850.1,AT5G23880.1,AT5G35530.1	AT2G37190,AT2G41620,AT2G41840,AT3G11510,AT3G15010,AT3G63400,AT5G02870,AT5G15200,AT5G35530,CPSF100,CPSF30,EMB2296,F5I14.19,HAG1,MSH7,ORC3,RPL23AA,RPL27AB,RPL5A,SAC52,SYN3,TERT
GO.0044446	intracellular organelle part	58	2.14e-06	AT1G06760.1,AT1G08470.1,AT1G09575.1,AT1G14320.1,AT1G23290.1,AT1G30460.1,AT1G48635.2,AT1G55370.2,AT1G55510.1,AT1G65660.1,AT1G72370.1,AT1G74040.1,AT2G18020.1,AT2G22250.2,AT2G29550.1,AT2G29980.1,AT2G36160.1,AT2G36620.1,AT2G37190.1,AT2G37270.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT2G42220.1,AT2G43240.1,AT3G06060.1,AT3G07110.2,AT3G09650.1,AT3G11510.1,AT3G12800.1,AT3G15010.1,AT3G20660.1,AT3G22845.1,AT3G24495.1,AT3G24830.1,AT3G25520.1,AT3G51830.1,AT3G52720.1,AT3G54610.1,AT3G55280.1,AT3G55830.1,AT3G59550.1,AT3G63400.1,AT4G24830.1,AT4G33530.1,AT5G02870.1,AT5G10560.1,AT5G11710.1,AT5G15200.1,AT5G16850.1,AT5G22010.1,AT5G23880.1,AT5G35530.1,AT5G49940.1,AT5G52650.1,AT5G53280.1,AT5G57030.1,AT5G57800.1	AAT,AT1G06760,AT1G09575,AT2G36160,AT2G37190,AT2G41620,AT2G41840,AT2G42220,AT2G43240,AT3G07110,AT3G11510,AT3G15010,AT3G22845,AT3G24830,AT3G63400,AT4G24830,AT5G02870,AT5G10560,AT5G11710,AT5G15200,AT5G35530,AT5G52650,At1g55510,CAH1,CER3,CPSF100,CPSF30,EMB2296,EPC1,F5I14.19,FAD3,HAG1,HCF152,IMS1,KUP5,LUT2,MSH7,NDF5,NFU2,OCT4,P40,PDV1,PEX3,RFC1,RPL23AA,RPL23AB,RPL24A,RPL27AB,RPL5A,RPS5B,SAC52,SAC8,SDRB,SSL3,SYN3,TERT,TSC10A,TUB7
GO.0070013	intracellular organelle lumen	21	2.73e-06	AT1G14320.1,AT1G23290.1,AT1G30460.1,AT1G55510.1,AT2G18020.1,AT2G37190.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT3G11510.1,AT3G15010.1,AT3G24495.1,AT3G25520.1,AT3G54610.1,AT3G59550.1,AT3G63400.1,AT5G02870.1,AT5G15200.1,AT5G16690.1,AT5G23880.1,AT5G35530.1	AT2G37190,AT2G41620,AT2G41840,AT3G11510,AT3G15010,AT3G63400,AT5G02870,AT5G15200,AT5G35530,At1g55510,CPSF100,CPSF30,EMB2296,HAG1,MSH7,ORC3,RPL23AA,RPL27AB,RPL5A,SAC52,SYN3
GO.0005730	nucleolus	14	2.85e-06	AT1G14320.1,AT1G23290.1,AT2G18020.1,AT2G37190.1,AT2G39460.1,AT2G41620.1,AT2G41840.1,AT3G11510.1,AT3G15010.1,AT3G25520.1,AT3G59550.1,AT5G02870.1,AT5G15200.1,AT5G35530.1	AT2G37190,AT2G41620,AT2G41840,AT3G11510,AT3G15010,AT5G02870,AT5G15200,AT5G35530,EMB2296,RPL23AA,RPL27AB,RPL5A,SAC52,SYN3
